,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost_m,efficient_m,effective_m,ease of use_m,max,align_type
27985,Garden,143923,Ironite Mineral Supplement 1-0-1 by Pennington 30lb bag ,https://www.lowes.com/pd/Ironite-15-lb-Improves-Soil-Structure/50260119,Lowes,PenningtonFertilizer,50260121,50260121,No,2022-06-29T00:00:00,2022,6,26,Not much of a difference so far...,[This review was collected as part of a promotion.] I finally got a chance to use this. I used my spreader set on the suggested settings first then fiddled with it and it worked better on setting 4. It has only been a week but to be very honest and it may be the extreme heat wave I notice no difference in the grass.,syndicated reviews,30.48,3,0,0,0,Yes,[this review was collected as part of a promotion.] i finally got a chance to use this. i used my spreader set on the suggested settings first then fiddled with it and it worked better on setting 4. it has only been a week but to be very honest and it may be the extreme heat wave i notice no difference in the grass.,2022-06-29,64,Positive,0.26248639822006226,0.586612343788147,0.6872804164886475,0.5884649157524109,0.6872804164886475,effective
5021,Garden,56923,Ironite Plus Lawn & Garden Spray 7-0-1,https://www.lowes.com/pd/Ironite-Plus-5000-sq-ft-6-2-1/3019555,Lowes,PenningtonFertilizer,3019555,3019555,No,2021-07-10T00:00:00,2021,7,27,This was an epic waste of time & money !!!,"Used as directed , product emptied way quicker than stated on packaging for coverage. Had to go back and get a second bottle for the remainder of the front yard which is less than 5,000 sq feet. Product produced zero results- no greening.",organic reviews,12.97,1,0,0,1,No,"used as directed , product emptied way quicker than stated on packaging for coverage. had to go back and get a second bottle for the remainder of the front yard which is less than 5,000 sq feet. product produced zero results- no greening.",2021-07-10,43,Negative,0.27737316489219666,0.03682467341423035,0.1309758871793747,0.1672782301902771,0.27737316489219666,cost
19885,Garden,131444,Alaska 5-1-1 Fish Fertilizer 1 Gal (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,100211859,202949934,Yes,2022-05-25T00:00:00,2022,5,21,I just brought this so Im not sure if it...,I just brought this so Im not sure if it will work or not... but when I was a child my mother would take the fish bones after we ate and crush them into powder.  Later I would watch her take the powder and spread it all over her garden... she had the prettiest flowers in my neighborhood... so Im hoping this will do the same.,organic reviews,20.52,4,0,0,0,No,i just brought this so im not sure if it will work or not... but when i was a child my mother would take the fish bones after we ate and crush them into powder.  later i would watch her take the powder and spread it all over her garden... she had the prettiest flowers in my neighborhood... so im hoping this will do the same.,2022-05-25,67,Neutral,0.40547990798950195,0.08971841633319855,0.2804446816444397,0.0660834014415741,0.40547990798950195,cost
27912,Garden,143849,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,https://www.lowes.com/pd/Ironite-15-lb-Improves-Soil-Structure/50260119,Lowes,PenningtonFertilizer,50260119,50260121,Yes,2022-06-29T00:00:00,2022,6,26,I dont know.,"[This review was collected as part of a promotion.] I was able to try Ironite Mineral Supplement 1-0-0 From the Makers of Pennington as part of a sample program. Unfortunately there was not enough time for the product to do something in the amount of time given. Therefore, I am staying as neutral as possible.",syndicated reviews,19.98,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i was able to try ironite mineral supplement 1-0-0 from the makers of pennington as part of a sample program. unfortunately there was not enough time for the product to do something in the amount of time given. therefore, i am staying as neutral as possible.",2022-06-29,55,Neutral,0.35828691720962524,0.04845825210213661,0.03753585368394852,0.3494909703731537,0.35828691720962524,cost
2836,Garden,25495,Pennington UltraGreen Starter Fertilizer 22-23-4 14lb,http://www.homedepot.com/p/t/312265336,Homedepot,PenningtonFertilizer,312265336,312265336,No,2021-11-15T00:00:00,2021,11,46,The seed that I planted did not grow despite following...,The seed that I planted did not grow despite following directions as printed on packaging.  Therefore Im completely unsatisfied with the Pennington Seed and/or the Starter Fertilizer that I purchased.,organic reviews,16.98,1,0,0,0,No,the seed that i planted did not grow despite following directions as printed on packaging.  therefore im completely unsatisfied with the pennington seed and/or the starter fertilizer that i purchased.,2021-11-15,31,Negative,0.6790135502815247,0.07151331752538681,0.01938595250248909,0.2067866176366806,0.6790135502815247,cost
15421,Garden,100016,Pennington UltraGreen Weed and Feed 30-0-4,https://www.amazon.com/dp/B07N29LSZ1,Amazon,PenningtonFertilizer,B07N29LSZ1,B07N29LSZ1,No,2022-04-20T00:00:00,2022,4,16,The weeds ignored it,And the grass is no better,organic reviews,22.99,1,0,0,0,No,and the grass is no better,2022-04-20,6,Negative,0.05004352331161499,0.030697301030158997,0.1121671125292778,0.01010617520660162,0.1121671125292778,effective
19871,Garden,131428,Alaska 5-1-1 Fish Fertilizer 1 Gal (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,100211859,202949934,Yes,2022-05-22T00:00:00,2022,5,20,Question,I recently purchased this product. Is it suppose to look like paste? Photo of the product on the bottle cap.,organic reviews,20.52,3,1,0,1,No,i recently purchased this product. is it suppose to look like paste? photo of the product on the bottle cap.,2022-05-22,20,Neutral,0.49003612995147705,0.080130934715271,0.1289830505847931,0.2573695480823517,0.49003612995147705,cost
19859,Garden,131414,Alaska 5-1-1 Fish Fertilizer 32oz bottle (concentrate),http://www.homedepot.com/p/202949934,Homedepot,PenningtonFertilizer,100131259,202949934,Yes,2022-05-25T00:00:00,2022,5,21,Too early to give a great review put it on...,Too early to give a great review put it on several different plants. It stinks.,organic reviews,10.77,4,0,0,0,No,too early to give a great review put it on several different plants. it stinks.,2022-05-25,15,Negative,0.12910819053649902,0.0033790410961955786,0.010971512645483017,0.0037882064934819937,0.12910819053649902,cost
28369,Garden,150281,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,https://www.walmart.com//ip/Ironite-Mineral-Supplement-by-Pennington-1-0-1-Fertilizer-15-lbs/46855931?selected=true,Walmart,PenningtonFertilizer,46855931,46855931,No,2022-06-20T00:00:00,2022,6,25,Using it right now,"[This review was collected as part of a promotion.] I applied the Ironite as instructed. With the high heat and no rainfall, it has not shown as well as I had hoped. Watering in the evenings is all that we can do at this point, but there are patches that are greening up, so I know that it will work in the long run.",syndicated reviews,16.92,4,0,0,0,Yes,"[this review was collected as part of a promotion.] i applied the ironite as instructed. with the high heat and no rainfall, it has not shown as well as i had hoped. watering in the evenings is all that we can do at this point, but there are patches that are greening up, so i know that it will work in the long run.",2022-06-20,64,Negative,0.2876633405685425,0.20290358364582062,0.6745767593383789,0.3834080100059509,0.6745767593383789,effective
27750,Garden,143684,Ironite Mineral Supplement 1-0-0 1 15 lbs.,https://www.lowes.com/pd/Ironite-Ironite-1-0-0/5012913023,Lowes,PenningtonFertilizer,5012913023,5012913023,No,2022-06-28T00:00:00,2022,6,26,Did what it said,"[This review was collected as part of a promotion.] With the heat and lack of rain in Texas it didnt impress me. This is not the month to try this product. While it did slightly green a section of grass in the shade, I didnt notice a huge difference in the full sun areas. I do have enough left to try again in a few months when the temps are under 110.",syndicated reviews,19.98,4,0,0,0,Yes,"[this review was collected as part of a promotion.] with the heat and lack of rain in texas it didnt impress me. this is not the month to try this product. while it did slightly green a section of grass in the shade, i didnt notice a huge difference in the full sun areas. i do have enough left to try again in a few months when the temps are under 110.",2022-06-28,72,Negative,0.59908527135849,0.13851597905158997,0.013175507076084614,0.04163750261068344,0.59908527135849,cost
2702,Garden,23097,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/t/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,Yes,2021-09-30T00:00:00,2021,9,39,It did not green up my lawn like I thought...,It did not green up my lawn like I thought it would. I have to consider other products next season.,organic reviews,18.98,3,0,0,0,No,it did not green up my lawn like i thought it would. i have to consider other products next season.,2021-09-30,20,Negative,0.5805730223655701,0.020085323601961136,0.025478066876530647,0.020735403522849083,0.5805730223655701,cost
18566,Garden,120202,"Pennington Smart Patch Sun & Shade Mix, 10 lb",https://www.lowes.com/pd/Pennington-Smart-Patch-30-lbs-Sun-and-Shade-Lawn-Repair-Mix/5013046123,Lowes,PenningtonFertilizer,5013148095,5013046123,Yes,2022-05-08T00:00:00,2022,5,18,terrible product,I would like to know how this product got stars from anyone unless they work for Pennington or never used it. I would estimate that only 5-10% germinated.,organic reviews,28.98,1,0,0,1,No,i would like to know how this product got stars from anyone unless they work for pennington or never used it. i would estimate that only 5-10% germinated.,2022-05-08,28,Negative,0.49849358201026917,0.032717522233724594,0.32714763283729553,0.3292080760002136,0.49849358201026917,cost
2606,Garden,22766,Ironite Mineral Supplement 1-0-1 by Pennington 30lb bag ,http://www.homedepot.com/p/t/206441318,Homedepot,PenningtonFertilizer,206441318,205561089,Yes,2021-06-25T00:00:00,2021,6,25,Lawn appears to be a darker green....,Lawn appears to be a darker green.,organic reviews,28.98,4,0,0,0,No,lawn appears to be a darker green.,2021-06-25,7,Neutral,0.24452552199363708,0.2602227032184601,0.6179344654083252,0.2835715413093567,0.6179344654083252,effective
2861,Garden,25835,Pennington UltraGreen Weed and Feed 30-0-4,http://www.homedepot.com/p/t/312265343,Homedepot,PenningtonFertilizer,312265343,312265343,No,2021-06-09T00:00:00,2021,6,23,Didnt make any difference to my yard and I listened...,Didnt make any difference to my yard and I listened to the recommended spreader setting,organic reviews,19.98,1,0,0,0,No,didnt make any difference to my yard and i listened to the recommended spreader setting,2021-06-09,15,Negative,0.6891240477561951,0.03539389371871948,0.005271539557725191,0.4696313440799713,0.6891240477561951,cost
713,Garden,4926,Pennington UltraGreen Lawn Fertilizer 30-0-4,https://www.amazon.com/Pennington-100536576-UltraGreen-Fertilizer-Covers/dp/B07N29CHQ1/ref=sr_1_1?keywords=021496019901&qid=1637068445&sr=8-1,Amazon,PenningtonFertilizer,B07N29CHQ1,B07N29CHQ1,No,2021-07-25T00:00:00,2021,7,29,dissolve problem,"Im not sure, but it seems to have a problem dissolving. I followed the instructions to a T and when the watering began, all of the pellets remained intact and did not dissolve at all!",organic reviews,13.48,3,0,0,0,No,"im not sure, but it seems to have a problem dissolving. i followed the instructions to a t and when the watering began, all of the pellets remained intact and did not dissolve at all!",2021-07-25,35,Neutral,0.47696930170059204,0.001840567565523088,0.11089421063661575,0.010368571616709232,0.47696930170059204,cost
27936,Garden,143873,Ironite Mineral Supplement 1-0-1 by Pennington 30lb bag ,https://www.lowes.com/pd/Ironite-15-lb-Improves-Soil-Structure/50260119,Lowes,PenningtonFertilizer,50260121,50260121,No,2022-06-20T00:00:00,2022,6,25,Using it right now,"[This review was collected as part of a promotion.] I applied the Ironite as instructed. With the high heat and no rainfall, it has not shown as well as I had hoped. Watering in the evenings is all that we can do at this point, but there are patches that are greening up, so I know that it will work in the long run.",syndicated reviews,30.48,4,0,0,0,Yes,"[this review was collected as part of a promotion.] i applied the ironite as instructed. with the high heat and no rainfall, it has not shown as well as i had hoped. watering in the evenings is all that we can do at this point, but there are patches that are greening up, so i know that it will work in the long run.",2022-06-20,64,Negative,0.2876633405685425,0.20290358364582062,0.6745767593383789,0.3834080100059509,0.6745767593383789,effective
27844,Garden,143780,"Pennington Smart Patch Sun & Shade Mix, 30 lb",https://www.lowes.com/pd/Pennington-Smart-Patch-30-lbs-Sun-and-Shade-Lawn-Repair-Mix/5013046123,Lowes,PenningtonFertilizer,5013046123,5013046123,Yes,2022-06-03T00:00:00,2022,6,22,terrible product,I would like to know how this product got stars from anyone unless they work for Pennington or never used it. I would estimate that only 5-10% germinated.,organic reviews,59.98,3,2,0,1,No,i would like to know how this product got stars from anyone unless they work for pennington or never used it. i would estimate that only 5-10% germinated.,2022-06-03,28,Negative,0.49849358201026917,0.032717522233724594,0.32714763283729553,0.3292080760002136,0.49849358201026917,cost
2678,Garden,22998,Ironite Mineral Supplement 1-0-1 by Pennington 30lb bag ,http://www.homedepot.com/p/t/206441318,Homedepot,PenningtonFertilizer,206441318,205561089,Yes,2021-06-24T00:00:00,2021,6,25,"Purchased 2 bags. Spread it with a broadcast,  watered, increased sprinkler days do not see any d...","Purchased 2 bags. Spread it with a broadcast,  watered, increased sprinkler days do not see any difference.  Disappointed. This was 2 weeks ago.",organic reviews,28.98,1,0,0,0,No,"purchased 2 bags. spread it with a broadcast,  watered, increased sprinkler days do not see any difference.  disappointed. this was 2 weeks ago.",2021-06-24,25,Negative,0.644088625907898,0.015676291659474373,0.0026573853101581335,0.2813037931919098,0.644088625907898,cost
12098,Garden,74013,Alaska 0-10-10 Morbloom Fertilizer 1 Gal bottle (concentrate),https://www.amazon.com/dp/B002YI4ZTS,Amazon,PenningtonFertilizer,B002YI4ZTS,B002YI4ZTS,Yes,2022-02-26T00:00:00,2022,2,8,Fast delivery,The pH swings too much..,organic reviews,0.0,3,0,0,0,No,the ph swings too much..,2022-02-26,5,Negative,0.0788930207490921,0.0005960906273685396,0.007754151709377766,0.000295174220809713,0.0788930207490921,cost
2834,Garden,25479,Pennington UltraGreen Starter Fertilizer 22-23-4 14lb,http://www.homedepot.com/p/t/312265336,Homedepot,PenningtonFertilizer,312265336,312265336,No,2021-06-10T00:00:00,2021,6,23,Did not kill the weeds...,Did not kill the weeds,organic reviews,16.98,2,0,0,0,No,did not kill the weeds,2021-06-10,5,Negative,0.6449379920959473,0.6668023467063904,0.008740502409636974,0.10217075794935226,0.6668023467063904,efficient
26377,Garden,142309,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,No,2022-06-29T00:00:00,2022,6,26,I dont know.,"[This review was collected as part of a promotion.] I was able to try Ironite Mineral Supplement 1-0-0 From the Makers of Pennington as part of a sample program. Unfortunately there was not enough time for the product to do something in the amount of time given. Therefore, I am staying as neutral as possible.",syndicated reviews,19.98,3,0,0,0,Yes,"[this review was collected as part of a promotion.] i was able to try ironite mineral supplement 1-0-0 from the makers of pennington as part of a sample program. unfortunately there was not enough time for the product to do something in the amount of time given. therefore, i am staying as neutral as possible.",2022-06-29,55,Neutral,0.35828691720962524,0.04845825210213661,0.03753585368394852,0.3494909703731537,0.35828691720962524,cost
24241,Garden,140171,Pennington UltraGreen Lawn Fertilizer 30-0-4,https://www.amazon.com.com/dp/B07N29CHQ1,Amazon,PenningtonFertilizer,B07N29CHQ1,B07N29CHQ1,No,2022-06-09T00:00:00,2022,6,23,Tall Fescue Application,"Per my research, it is recommended to not fertilize Fescue after March 15th. Reason being, Fescue is a cool season grass and as the weather warms, fertilizer will burn this type of grass. I know, the bag directions say it is good on all grass but you need to know your grass types recommendations as to when you apply any products to your yard. If you have Fescue it is best to apply fertilizer Oct-Nov or Feb-March.",organic reviews,49.97,4,0,0,3,No,"per my research, it is recommended to not fertilize fescue after march 15th. reason being, fescue is a cool season grass and as the weather warms, fertilizer will burn this type of grass. i know, the bag directions say it is good on all grass but you need to know your grass types recommendations as to when you apply any products to your yard. if you have fescue it is best to apply fertilizer oct-nov or feb-march.",2022-06-09,77,Neutral,0.47080180048942566,0.09035440534353256,0.16985516250133514,0.008863847702741623,0.47080180048942566,cost
2004,Garden,16412,Pennington Fast Acting Lime 30lb,http://www.homedepot.com/p/t/205876384,Homedepot,PenningtonFertilizer,205876384,205876384,No,2021-11-17T00:00:00,2021,11,46,I measured the Ph before and after applying the product....,I measured the Ph before and after applying the product. There were no changes. I measured several times afterwards and there was no improvement.,organic reviews,17.28,2,0,0,0,No,i measured the ph before and after applying the product. there were no changes. i measured several times afterwards and there was no improvement.,2021-11-17,24,Negative,0.26840120553970337,0.3432891368865967,0.5012555122375488,0.39610555768013,0.5012555122375488,effective
17147,Garden,110721,Ironite Mineral Supplement 1-0-1 by Pennington 15lb bag ,http://www.homedepot.com/p/205561089,Homedepot,PenningtonFertilizer,205561089,205561089,No,2022-04-27T00:00:00,2022,4,17,Since Pennington took over the product no longer quickly dissolves...,Since Pennington took over the product no longer quickly dissolves into the grass. Would not recommend.,organic reviews,18.98,1,0,0,0,No,since pennington took over the product no longer quickly dissolves into the grass. would not recommend.,2022-04-27,16,Negative,0.448390930891037,0.009553083218634129,0.01706220768392086,0.073367640376091,0.448390930891037,cost
9667,Garden,70364,Ironite Mineral Supplement 1-0-1 by Pennington 30lb bag ,https://www.homedepot.com/p/Ironite-30-lbs-Mineral-Supplement-1-0-1-100532502/206441318,Homedepot,PenningtonFertilizer,206441318,205561089,Yes,2021-12-30T00:00:00,2021,12,52,I will know more in a couple of weeks....,I will know more in a couple of weeks.,organic reviews,28.98,4,0,0,0,No,i will know more in a couple of weeks.,2021-12-30,9,Neutral,0.4588014781475067,0.21953627467155457,0.3623306453227997,0.1857955902814865,0.4588014781475067,cost
