,segment,review_id,product_name,producturl,retailer,brand,retailer_product_id,base_id,variants_flag,review_creation_date,year,month,week,review_title,review_text,review_type,price,rating,images,videos,helpful_votes,promotion_flag,review_lower,date,word_count,sentiment,cost,ease of use,effectiveness,efficiency,Unnamed: 31
15616,Garden,100211,AMDRO Fire Ant Bait 6oz,https://www.homedepot.com/p/AMDRO-6-oz-Fire-Ant-Killer-Bait-100099058/305448173,Homedepot,Amdro,305448173,305448173,Yes,2022-04-19T00:00:00,2022,4,16,always a satisfied result,great product and price,organic reviews,9.59,5,0,0,0,No,great product and price,2022-04-19,4,positive,1.0,,,,
2249,Garden,18927,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer RTU 1gal",https://www.homedepot.com/p/AMDRO-1-Gal-Quick-Kill-Carpenter-Bee-Ant-and-Termite-Killer-Ready-to-Use-100526850/305448789,Homedepot,Amdro,305448789,305448729,Yes,2021-06-13T00:00:00,2021,6,23,Amdro quick kill,[This review was collected as part of a promotion.] Glad it was ready to use. Tons of product. Not sure if it works because I already have a pest service.,syndicated reviews,12.77,4,0,0,0,Yes,[this review was collected as part of a promotion.] glad it was ready to use. tons of product. not sure if it works because i already have a pest service.,2021-06-13,30,positive,,,,,
8717,Garden,68589,AMDRO Ant Block Home Perimeter Ant Bait,https://www.homedepot.com/p/AMDRO-12-oz-Ant-Block-Home-Perimeter-Ant-Killer-Bait-100099307/305448482,Homedepot,Amdro,305448482,100598633,Yes,2021-09-13T00:00:00,2021,9,37,Did nothing.  Literally nothing.,"This did exactly nothing to the ants.  Im about 5 miles East of DT Los Angeles, and we have tiny black ants.  They ignored this like it wasnt even there.  Honestly, this isnt necessarily any worse than most products Ive tried.  The ants here dont care about sweets or sugar, they want protein and fat, like pet food.  I had pretty good success with a similar type treatment about 7 or 8 years ago that you spread on and water in.  But I dont remember what it was!  I wish I knew, because this year the ants have come HARD.",organic reviews,8.62,1,0,0,0,No,"this did exactly nothing to the ants.  im about 5 miles east of dt los angeles, and we have tiny black ants.  they ignored this like it wasnt even there.  honestly, this isnt necessarily any worse than most products ive tried.  the ants here dont care about sweets or sugar, they want protein and fat, like pet food.  i had pretty good success with a similar type treatment about 7 or 8 years ago that you spread on and water in.  but i dont remember what it was!  i wish i knew, because this year the ants have come hard.",2021-09-13,107,negative,,,1.0,,
16130,Garden,100726,AMDRO Quick Kill Lawn Insect Killer 10lb,https://www.lowes.com/pd/AMDRO-Quick-Kill-Outdoor-10-lb-Lawn-Insect-Control/999956666,Lowes,Amdro,999956666,999990210,Yes,2022-04-23T00:00:00,2022,4,16,,"[This review was collected as part of a promotion.] I have used this product for over 10 years. It doesnt matter if you use it in grass, on pavement or anywhere. Insects love it and within a day, they will be gone. I couldnt recommend this product more for anyone dealing with a pest problem",organic reviews,9.48,5,0,0,0,Yes,"[this review was collected as part of a promotion.] i have used this product for over 10 years. it doesnt matter if you use it in grass, on pavement or anywhere. insects love it and within a day, they will be gone. i couldnt recommend this product more for anyone dealing with a pest problem",2022-04-23,55,positive,,,1.0,,
12543,Garden,75011,AMDRO Mouse Trap ,https://www.amazon.com/dp/B07L4B3B38,Amazon,Amdro,B07L4B3B38,B07L4B3B38,No,2022-03-02T00:00:00,2022,3,9,ANDDDD HES GONE!,"That little @$#@@ been scratching in my bedroom wall every night at 2am! Hes been waking me up! I wasnt even sure where to put the trap. Do I need to drill a hole in the wall? I procrastinated a few days to figure out my game plan.Well tonight, not very long ago, I noticed droppings (and wall shavings) on the floor. I set the trap with cheddar, placed it a few inches from the droppings so it wouldnt be pressed against the corner, turned off the light, and laid to bed. 5 minutes later, i heard it! Not loud, not scary, really just annoying mouse sounds. I turned the light on.I watched his tail curl up - GROSS! Then he seemed to have a little seizure, but it didnt last long. If youre squeamish and hear the trap go off, just wait a minute before you investigate.I got my roommate to give him a proper dumpster burial. Hopefully I can sleep through the night now. 5 stars! 110%! Would definitely recommend to a friend. A+++++++++++++++++++++++++++++",organic reviews,6.98,5,0,0,0,No,"that little @$#@@ been scratching in my bedroom wall every night at 2am! hes been waking me up! i wasnt even sure where to put the trap. do i need to drill a hole in the wall? i procrastinated a few days to figure out my game plan.well tonight, not very long ago, i noticed droppings (and wall shavings) on the floor. i set the trap with cheddar, placed it a few inches from the droppings so it wouldnt be pressed against the corner, turned off the light, and laid to bed. 5 minutes later, i heard it! not loud, not scary, really just annoying mouse sounds. i turned the light on.i watched his tail curl up - gross! then he seemed to have a little seizure, but it didnt last long. if youre squeamish and hear the trap go off, just wait a minute before you investigate.i got my roommate to give him a proper dumpster burial. hopefully i can sleep through the night now. 5 stars! 110%! would definitely recommend to a friend. a+++++++++++++++++++++++++++++",2022-03-02,176,positive,,,1.0,1.0,
8171,Garden,68043,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.walmart.com//ip/Amdro-Ant-Block-Home-Perimeter-Ant-Bait-and-Ant-Killer-24-Ounce/16795323?selected=true,Walmart,Amdro,16795323,16795323,No,2021-06-07T00:00:00,2021,6,23,No more ants.,[This review was collected as part of a promotion.] I received this complimentary for testing purposes. This stuff is great. I liked that I could use it outside and not in the house. I also like that I could sprinkle around my house perimeter since I didnt know why or where they were coming from.,organic reviews,14.47,5,0,0,0,Yes,[this review was collected as part of a promotion.] i received this complimentary for testing purposes. this stuff is great. i liked that i could use it outside and not in the house. i also like that i could sprinkle around my house perimeter since i didnt know why or where they were coming from.,2021-06-07,55,positive,,1.0,,,
8151,Garden,68023,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.walmart.com//ip/Amdro-Ant-Block-Home-Perimeter-Ant-Bait-and-Ant-Killer-24-Ounce/16795323?selected=true,Walmart,Amdro,16795323,16795323,No,2021-06-22T00:00:00,2021,6,25,AMDRO Home Perimeter Ant Block/Bait,"My order was received in a well packed box with everything I was expecting.  This product works for the ants around my house, I was getting invaded by ants every year until I started using this product.  It in no way lasts 3 months for me, but we have so many ants its ridiculous,  and I would imagine I would have to hire professional exterminators if I did not apply this every 1-1 months or so. I use it on approximately 1 acre of the property and with a small handheld spreader it takes 4 -24 oz containers to properly treat all the areas infested with ants. Since using this product  I have not had more than 2 small ants come in my home. The disturbingly large 1"" ants still come in, but I dont know how to stop them. I figure they will soon be large enough to simply open my door and let themselves in! But this really is a great product if you have any ant infestations,  or even ant hills littering your yard. It hasnt seemed to affect the numerous other wildlife, such as frogs and toads, grasshoppers, butterflies and moths, spiders, dragonflies,  or birds.",organic reviews,14.47,4,0,0,0,No,"my order was received in a well packed box with everything i was expecting.  this product works for the ants around my house, i was getting invaded by ants every year until i started using this product.  it in no way lasts 3 months for me, but we have so many ants its ridiculous,  and i would imagine i would have to hire professional exterminators if i did not apply this every 1-1 months or so. i use it on approximately 1 acre of the property and with a small handheld spreader it takes 4 -24 oz containers to properly treat all the areas infested with ants. since using this product  i have not had more than 2 small ants come in my home. the disturbingly large 1"" ants still come in, but i dont know how to stop them. i figure they will soon be large enough to simply open my door and let themselves in! but this really is a great product if you have any ant infestations,  or even ant hills littering your yard. it hasnt seemed to affect the numerous other wildlife, such as frogs and toads, grasshoppers, butterflies and moths, spiders, dragonflies,  or birds.",2021-06-22,205,positive,,,,,
17063,Garden,110637,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/100598633,Homedepot,Amdro,100598633,100598633,Yes,2022-05-04T00:00:00,2022,5,18,Its creepy that Home Depot tracks me and my purchases....,Its creepy that Home Depot tracks me and my purchases.  The product is good.  But Home Depot needs to learn some boundaries.,organic reviews,14.27,5,0,0,0,No,its creepy that home depot tracks me and my purchases.  the product is good.  but home depot needs to learn some boundaries.,2022-05-04,24,positive,,,,,
12731,Garden,76007,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-03-08T00:00:00,2022,3,10,Kill Leaf Cutter Ants,Amdro and Amdro ant bait does a good job on your ant problem.,organic reviews,14.27,5,0,0,0,No,amdro and amdro ant bait does a good job on your ant problem.,2022-03-08,13,positive,,,1.0,,
740,Garden,5060,AMDRO Kills Fire Ants Yard Treatment Bait 5lb,https://www.amazon.com/dp/B00FN3GOX6,Amazon,Amdro,B00FN3GOX6,B00FN3GOX6,No,2021-10-18T00:00:00,2021,10,42,Useless,"Bought four bags, used one bag to treat mounds 4 days ago. The ants are more lively than ever. Two days ago I used the other three bags and broadcast them over the yard. They love the stuff! It doent kill them, but they are partying up. I could have peed on them and gotten the same redults and more satisfaction.",organic reviews,22.68,1,0,0,0,No,"bought four bags, used one bag to treat mounds 4 days ago. the ants are more lively than ever. two days ago i used the other three bags and broadcast them over the yard. they love the stuff! it doent kill them, but they are partying up. i could have peed on them and gotten the same redults and more satisfaction.",2021-10-18,61,negative,,,1.0,1.0,
8669,Garden,68541,AMDRO Ant Block Home Perimeter Ant Bait,https://www.homedepot.com/p/AMDRO-12-oz-Ant-Block-Home-Perimeter-Ant-Killer-Bait-100099307/305448482,Homedepot,Amdro,305448482,100598633,Yes,2021-10-16T00:00:00,2021,10,41,Carpenter ants,Used it and still had ants.,organic reviews,8.62,3,0,0,0,No,used it and still had ants.,2021-10-16,6,negative,,,1.0,,
18696,Garden,130080,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-05-29T00:00:00,2022,5,21,It worked for ants!,I had quite a big ant problem near my entry and would find ants getting in the house. I spread this around lightly roughly a week ago and I have not seen an ant since. Seemed to have worked great!,organic reviews,14.27,5,0,0,0,No,i had quite a big ant problem near my entry and would find ants getting in the house. i spread this around lightly roughly a week ago and i have not seen an ant since. seemed to have worked great!,2022-05-29,40,positive,,,1.0,1.0,
2078,Garden,17809,AMDRO Gopher Gasser 6-pack,http://www.homedepot.com/p/t/203031283,Homedepot,Amdro,203031283,203031283,No,2021-07-28T00:00:00,2021,7,30,he gophers literally threw them out of the hole! ...,he gophers literally threw them out of the hole!  These were a waste of money!,organic reviews,7.91,1,0,0,0,No,he gophers literally threw them out of the hole!  these were a waste of money!,2021-07-28,16,negative,1.0,,1.0,,
40,Garden,388,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2021-09-04T00:00:00,2021,9,35,Great ant killer,"Amdro is a great fireant killer, only a little will eliminate a colony. Follow diections!",organic reviews,20.59,5,0,0,0,No,"amdro is a great fireant killer, only a little will eliminate a colony. follow diections!",2021-09-04,15,positive,,,1.0,,
1752,Garden,13914,AMDRO Mole & Gopher Bait 1lb,http://www.homedepot.com/p/t/203995618,Homedepot,Amdro,203995618,203995618,No,2021-11-17T00:00:00,2021,11,46,Gopher Bate,Works as described.  Easy to use.,organic reviews,7.99,5,0,0,0,No,works as described.  easy to use.,2021-11-17,7,positive,,1.0,1.0,,
16993,Garden,110567,1 lb. Fire Ant Killer Bait,https://www.homedepot.com/p/AMDRO-6-oz-Fire-Ant-Killer-Bait-100099058/305448173,Homedepot,Amdro,100327315,305448173,Yes,2022-04-27T00:00:00,2022,4,17,Better than liquid,Ive been using this for years because it is so effective against ants.  When I see small mounds of ants near my foundation or elsewhere I sprinkle just a little around them.  It lasts for weeks.  I feed cats outside my front door and there are no ants in the dishes when I use this.  I am just careful to put it where the cats dont walk.,organic reviews,14.36,5,0,0,0,No,ive been using this for years because it is so effective against ants.  when i see small mounds of ants near my foundation or elsewhere i sprinkle just a little around them.  it lasts for weeks.  i feed cats outside my front door and there are no ants in the dishes when i use this.  i am just careful to put it where the cats dont walk.,2022-04-27,71,positive,,,1.0,1.0,
4883,Garden,55829,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.lowes.com/pd/AMDRO-Ant-Block-24-oz-Ant-Killer/1000044709,Lowes,Amdro,1000044709,1000044709,No,2021-06-03T00:00:00,2021,6,22,Problem solver,Great product. We had huge problem with ants everywhere in our house. Used product and in about a week all ants were gone.,organic reviews,9.47,5,0,0,0,No,great product. we had huge problem with ants everywhere in our house. used product and in about a week all ants were gone.,2021-06-03,23,positive,,,,1.0,1.0
20693,Garden,132374,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448910,305448729,Yes,2022-05-25T00:00:00,2022,5,21,AMDRO really works! Its safe and easy to use.,I purchased another gallon of AMDRO because it really works!,organic reviews,10.46,5,0,0,0,No,i purchased another gallon of amdro because it really works!,2022-05-25,10,positive,,,,1.0,
14209,Garden,80012,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2022-04-05T00:00:00,2022,4,14,It works!,"I had an ant problem recently and used this product. I spread it around the house near the foundation. Since then, I have only seen one or two. Its been 3 weeks!",organic reviews,14.27,4,0,0,0,No,"i had an ant problem recently and used this product. i spread it around the house near the foundation. since then, i have only seen one or two. its been 3 weeks!",2022-04-05,32,positive,,,,1.0,1.0
7584,Garden,67456,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer RTU 1gal",https://www.walmart.com//ip/Amdro-Quick-Kill-Carpenter-Bee-Ant-Termite-Killer-Trigger-Sprayer-1-Gallon/495792776?selected=true,Walmart,Amdro,495792776,495792776,No,2021-08-01T00:00:00,2021,8,30,MISSING MAIN PART!,the trigger sprayer was missing!,organic reviews,12.77,1,0,0,0,No,the trigger sprayer was missing!,2021-08-01,5,negative,,,,,
123,Garden,1256,AMDRO Ant Block Home Perimeter Ant Bait 12oz,https://www.amazon.com/dp/B001H1JKSY,Amazon,Amdro,B001H1JKSY,B001H1JKSY,No,2021-08-17T00:00:00,2021,8,33,Amazing,"I honestly had my doubts. I live in New Jersey and had tons of ant colonies alongside my home. It got so bad that they were coming inside and in my kitchen and bathroom. I poured this stuff in a couple spots in my yard one time and after just day, there were no longer ants inside my house. It seriously works. When i initially poured this stuff i expected the ants to immediately stop what theyre doing and grab it. That wasnt exactly how it went. I thought it wasnt working, left the house for a few hours and came back and they was significantly way less ants. If youre on the fence, try this!",organic reviews,8.88,5,0,0,0,No,"i honestly had my doubts. i live in new jersey and had tons of ant colonies alongside my home. it got so bad that they were coming inside and in my kitchen and bathroom. i poured this stuff in a couple spots in my yard one time and after just day, there were no longer ants inside my house. it seriously works. when i initially poured this stuff i expected the ants to immediately stop what theyre doing and grab it. that wasnt exactly how it went. i thought it wasnt working, left the house for a few hours and came back and they was significantly way less ants. if youre on the fence, try this!",2021-08-17,116,positive,,,,1.0,1.0
20740,Garden,132433,AMDRO Ant Killing Bait 8-pk,http://www.homedepot.com/p/307855811,Homedepot,Amdro,307973438,307855811,Yes,2022-05-19T00:00:00,2022,5,20,The ONLY thing Ive found that truly works. Set it...,The ONLY thing Ive found that truly works. Set it and forget it. No fuss.,organic reviews,4.99,5,0,0,0,No,the only thing ive found that truly works. set it and forget it. no fuss.,2022-05-19,15,positive,,,,1.0,
20697,Garden,132378,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer Foam",http://www.homedepot.com/p/305448729,Homedepot,Amdro,305448910,305448729,Yes,2022-05-20T00:00:00,2022,5,20,Does not work on carpenter bees.,Just like many of the other 1 Star reviews I sprayed the diluted repellent directly on carpenter bees and had no effect. I used a stronger ratio of 4 ounces for 1 gallon of water and sprayed them directly again still had no results.,organic reviews,10.46,1,0,0,0,No,just like many of the other 1 star reviews i sprayed the diluted repellent directly on carpenter bees and had no effect. i used a stronger ratio of 4 ounces for 1 gallon of water and sprayed them directly again still had no results.,2022-05-20,44,negative,,,,1.0,
368,Garden,3145,AMDRO Ant Block Home Perimeter Ant Bait 24oz,https://www.amazon.com/dp/B000QDEQ7E,Amazon,Amdro,B000QDEQ7E,B000QDEQ7E,No,2021-07-06T00:00:00,2021,7,27,Did not work,Did not work. Had to call exterminator for help.,organic reviews,14.47,1,0,0,0,No,did not work. had to call exterminator for help.,2021-07-06,9,negative,,,,1.0,
130,Garden,1285,AMDRO Ant Block Home Perimeter Ant Bait 12oz,https://www.amazon.com/dp/B001H1JKSY,Amazon,Amdro,B001H1JKSY,B001H1JKSY,No,2021-06-09T00:00:00,2021,6,23,This is old stock,"I learned from using this product that you MUST use new (current year) stock or it will not be nearly as effective. I knew as soon as I opened the bottle that it was old, as the color of the active granules is a very light butter yellow. The granules in my bottle were dark yellow-old. I checked the date (stamped in ink on the bottle as part of a product code) and it was from 2020. NOT HAPPY.I expected being from Amazon that the product would have a large overturn and be very current stock-guess I should have asked the seller before purchase how old it was.Learn from my mistake and contact the seller to see what year the product was made.",organic reviews,8.88,1,0,0,0,No,"i learned from using this product that you must use new (current year) stock or it will not be nearly as effective. i knew as soon as i opened the bottle that it was old, as the color of the active granules is a very light butter yellow. the granules in my bottle were dark yellow-old. i checked the date (stamped in ink on the bottle as part of a product code) and it was from 2020. not happy.i expected being from amazon that the product would have a large overturn and be very current stock-guess i should have asked the seller before purchase how old it was.learn from my mistake and contact the seller to see what year the product was made.",2021-06-09,123,negative,,,,,
10409,Garden,72001,AMDRO Fire Ant Bait 2lb,https://www.amazon.com/dp/B002FYMTB2,Amazon,Amdro,B002FYMTB2,B002FYMTB2,No,2022-01-26T00:00:00,2022,1,4,It works..,Just sprinkle it on and walk away.,organic reviews,19.97,4,0,0,0,No,just sprinkle it on and walk away.,2022-01-26,7,positive,,,1.0,,
2222,Garden,18648,"AMDRO Quick Kill Carpenter Bee, Ant & Termite Killer RTU 1gal",https://www.homedepot.com/p/AMDRO-1-Gal-Quick-Kill-Carpenter-Bee-Ant-and-Termite-Killer-Ready-to-Use-100526850/305448789,Homedepot,Amdro,305448789,305448729,Yes,2021-06-25T00:00:00,2021,6,25,"Worked well, the bees were gone. It works better if you have a long extension sprayer so the spra...","Worked well, the bees were gone. It works better if you have a long extension sprayer so the sprayer head can reach higher bee nests.",organic reviews,12.77,5,0,0,0,No,"worked well, the bees were gone. it works better if you have a long extension sprayer so the sprayer head can reach higher bee nests.",2021-06-25,25,positive,,,,1.0,
13893,Garden,79110,AMDRO Ant Block Home Perimeter Ant Bait 24oz,http://www.homedepot.com/p/100598633,Homedepot,Amdro,100598633,100598633,Yes,2022-04-02T00:00:00,2022,4,13,Cheap n Easy!,"I have been using this product for many years to kill the ants.  It is very easy to use, just walk around the house to drop a few of it on every few inches around the foundation.  Dont need to pay for the professional to do the job.  I do it before spring n before fall!",organic reviews,15.97,5,0,0,0,No,"i have been using this product for many years to kill the ants.  it is very easy to use, just walk around the house to drop a few of it on every few inches around the foundation.  dont need to pay for the professional to do the job.  i do it before spring n before fall!",2022-04-02,59,positive,,,,1.0,
18920,Garden,130365,AMDRO Mole & Gopher Bait 1lb,http://www.homedepot.com/p/203995618,Homedepot,Amdro,203995618,203995618,No,2022-05-12T00:00:00,2022,5,19,Poor product made it worse than ever mounds were even...,Poor product made it worse than ever mounds were even bigger than before waste of money,organic reviews,8.99,1,0,0,0,No,poor product made it worse than ever mounds were even bigger than before waste of money,2022-05-12,16,negative,1.0,,1.0,,
